ledger_entry_id,recorded_amount,recorded_date,order_id_ref
LEDGER_00176,11061.00,2026-01-05,ORD_00176
LEDGER_00177,50705.00,2026-01-23,ORD_00177
LEDGER_00178,28543.00,2026-01-03,ORD_00178
LEDGER_00179,43869.00,2026-01-18,ORD_00179
LEDGER_00180,8661.00,2026-01-07,ORD_00180
LEDGER_00181,77056.00,2026-01-23,ORD_00181
LEDGER_00182,50357.00,2026-01-16,ORD_00182
LEDGER_00183,39639.00,2026-01-25,ORD_00183
LEDGER_00184,71045.00,2026-01-24,ORD_00184
LEDGER_00185,29406.00,2026-01-16,ORD_00185
LEDGER_00186,57625.00,2026-01-16,ORD_00186
LEDGER_00187,44557.00,2026-01-22,ORD_00187
LEDGER_00188,22132.00,2026-01-27,ORD_00188
LEDGER_00189,82060.00,2026-01-18,ORD_00189
LEDGER_00190,78080.00,2026-01-19,ORD_00190
LEDGER_00191,84746.00,2026-01-14,ORD_00191
LEDGER_00192,24319.00,2026-01-02,ORD_00192
LEDGER_00193,43406.00,2026-01-07,ORD_00193
LEDGER_00194,44736.00,2026-01-25,ORD_00194
LEDGER_00195,99067.00,2026-01-27,ORD_00195
LEDGER_00196,11235.00,2026-01-16,ORD_00196
LEDGER_00197,71202.00,2026-01-02,ORD_00197
LEDGER_00198,85715.00,2026-01-03,ORD_00198
LEDGER_00199,32911.00,2026-01-07,ORD_00199
LEDGER_00200,20473.00,2026-01-08,ORD_00200
LEDGER_00201,88247.00,2026-01-04,ORD_00201
LEDGER_00202,61452.00,2026-01-23,ORD_00202
LEDGER_00203,22492.00,2026-01-20,ORD_00203
LEDGER_00204,94656.00,2026-01-04,ORD_00204
LEDGER_00205,14668.00,2026-01-19,ORD_00205
LEDGER_00206,75970.00,2026-01-22,ORD_00206
LEDGER_00207,94218.00,2026-01-07,ORD_00207
LEDGER_00208,91020.00,2026-01-27,ORD_00208
LEDGER_00209,91882.00,2026-01-25,ORD_00209
LEDGER_00210,79197.00,2026-01-26,ORD_00210
LEDGER_00211,5883.00,2026-01-12,ORD_00211
LEDGER_00212,87206.00,2026-01-12,ORD_00212
LEDGER_00213,85374.00,2026-01-11,ORD_00213
LEDGER_00214,64751.00,2026-01-04,ORD_00214
LEDGER_00215,83807.00,2026-01-29,ORD_00215
LEDGER_00216,20552.00,2026-01-14,ORD_00216
LEDGER_00217,68886.00,2026-01-21,ORD_00217
LEDGER_00218,71039.00,2026-01-25,ORD_00218
LEDGER_00219,57591.00,2026-01-27,ORD_00219
LEDGER_00220,42745.00,2026-01-28,ORD_00220
LEDGER_00221,37059.00,2026-01-29,ORD_00221
LEDGER_00222,98866.00,2026-01-15,ORD_00222
LEDGER_00223,88080.00,2026-01-13,ORD_00223
LEDGER_00224,65289.00,2026-01-28,ORD_00224
LEDGER_00225,64404.00,2026-01-07,ORD_00225
LEDGER_00226,45108.00,2026-01-09,ORD_00226
LEDGER_00227,36711.00,2026-01-18,ORD_00227
LEDGER_00228,25542.00,2026-01-03,ORD_00228
LEDGER_00229,53771.00,2026-01-16,ORD_00229
LEDGER_00230,91019.00,2026-01-16,ORD_00230
LEDGER_00231,2760.00,2026-01-03,ORD_00231
LEDGER_00232,53505.00,2026-01-23,ORD_00232
LEDGER_00233,87526.00,2026-01-19,ORD_00233
LEDGER_00234,73044.00,2026-01-17,ORD_00234
LEDGER_00235,98271.00,2026-01-18,ORD_00235
LEDGER_00236,92624.00,2026-01-15,ORD_00236
LEDGER_00237,33451.00,2026-01-08,ORD_00237
LEDGER_00238,25742.00,2026-01-11,ORD_00238
LEDGER_00239,70736.00,2026-01-25,ORD_00239
LEDGER_00240,28861.00,2026-01-24,ORD_00240
LEDGER_00241,95472.00,2026-01-19,ORD_00241
LEDGER_00242,37593.00,2026-01-04,ORD_00242
LEDGER_00243,30316.00,2026-01-12,ORD_00243
LEDGER_00244,2354.00,2026-01-23,ORD_00244
LEDGER_00245,36454.00,2026-01-02,ORD_00245
LEDGER_00246,38790.00,2026-01-23,ORD_00246
LEDGER_00247,99169.00,2026-01-16,ORD_00247
LEDGER_00248,75743.00,2026-01-10,ORD_00248
LEDGER_00249,58233.00,2026-01-11,ORD_00249
LEDGER_00250,33592.00,2026-01-28,ORD_00250
LEDGER_00251,9064.00,2026-01-13,ORD_00251
LEDGER_00252,76131.00,2026-01-21,ORD_00252
LEDGER_00253,20055.00,2026-01-26,ORD_00253
LEDGER_00254,11664.00,2026-01-08,ORD_00254
LEDGER_00255,55048.00,2026-01-20,ORD_00255
LEDGER_00256,30081.00,2026-01-25,ORD_00256
LEDGER_00257,59549.00,2026-01-30,ORD_00257
LEDGER_00258,77639.00,2026-01-14,ORD_00258
LEDGER_00259,81899.00,2026-01-02,ORD_00259
LEDGER_00260,13506.00,2026-01-25,ORD_00260
LEDGER_00261,28159.00,2026-01-09,ORD_00261
LEDGER_00262,31939.00,2026-01-06,ORD_00262
LEDGER_00263,21017.00,2026-01-01,ORD_00263
LEDGER_00264,90857.00,2026-01-20,ORD_00264
LEDGER_00265,4778.00,2026-01-08,ORD_00265
LEDGER_00266,37556.00,2026-01-23,ORD_00266
LEDGER_00267,90596.00,2026-01-08,ORD_00267
LEDGER_00268,77804.00,2026-01-22,ORD_00268
LEDGER_00269,15543.00,2026-01-18,ORD_00269
LEDGER_00270,20028.00,2026-01-30,ORD_00270
LEDGER_00271,9859.00,2026-01-02,ORD_00271
LEDGER_00272,78493.00,2026-01-24,ORD_00272
LEDGER_00273,58060.00,2026-01-04,ORD_00273
LEDGER_00274,40357.00,2026-01-23,ORD_00274
LEDGER_00275,66097.00,2026-01-18,ORD_00275
LEDGER_00276,11043.00,2026-01-20,ORD_00276
LEDGER_00277,96776.00,2026-01-11,ORD_00277
LEDGER_00278,3890.00,2026-01-03,ORD_00278
LEDGER_00279,75892.00,2026-01-19,ORD_00279
LEDGER_00280,35825.00,2026-01-19,ORD_00280
LEDGER_00281,62169.00,2026-01-17,ORD_00281
LEDGER_00282,36958.00,2026-01-06,ORD_00282
LEDGER_00283,57632.00,2026-01-21,ORD_00283
LEDGER_00284,12459.00,2026-01-16,ORD_00284
LEDGER_00285,54023.00,2026-01-11,ORD_00285
LEDGER_00286,88335.00,2026-01-04,ORD_00286
LEDGER_00287,43728.00,2026-01-14,ORD_00287
LEDGER_00288,38277.00,2026-01-22,ORD_00288
LEDGER_00289,72602.00,2026-01-02,ORD_00289
LEDGER_00290,12042.00,2026-01-11,ORD_00290
LEDGER_00291,42872.00,2026-01-04,ORD_00291
LEDGER_00292,67949.00,2026-01-27,ORD_00292
LEDGER_00293,86700.00,2026-01-28,ORD_00293
LEDGER_00294,61052.00,2026-01-14,ORD_00294
LEDGER_00295,25086.00,2026-01-17,ORD_00295
LEDGER_00296,82109.00,2026-01-25,ORD_00296
LEDGER_00297,82473.00,2026-01-15,ORD_00297
LEDGER_00298,27180.00,2026-01-09,ORD_00298
LEDGER_00299,17672.00,2026-01-30,ORD_00299
LEDGER_00300,57924.00,2026-01-29,ORD_00300
LEDGER_00301,16415.00,2026-01-01,ORD_00301
LEDGER_00302,31865.00,2026-01-23,ORD_00302
LEDGER_00303,41230.00,2026-01-18,ORD_00303
LEDGER_00304,72884.00,2026-01-14,ORD_00304
LEDGER_00305,29951.00,2026-01-27,ORD_00305
LEDGER_00306,60982.00,2026-01-04,ORD_00306
LEDGER_00307,65823.00,2026-01-30,ORD_00307
LEDGER_00308,67198.00,2026-01-23,ORD_00308
LEDGER_00309,54959.00,2026-01-27,ORD_00309
LEDGER_00310,62394.00,2026-01-08,ORD_00310
LEDGER_00311,72755.00,2026-01-05,ORD_00311
LEDGER_00312,25483.00,2026-01-30,ORD_00312
LEDGER_00313,67116.00,2026-01-24,ORD_00313
LEDGER_00314,9650.00,2026-01-09,ORD_00314
LEDGER_00315,45048.00,2026-01-30,ORD_00315
LEDGER_00316,35518.00,2026-01-27,ORD_00316
LEDGER_00317,37572.00,2026-01-24,ORD_00317
LEDGER_00318,77431.00,2026-01-19,ORD_00318
LEDGER_00319,19976.00,2026-01-15,ORD_00319
LEDGER_00320,63983.00,2026-01-12,ORD_00320
LEDGER_00321,72840.00,2026-01-25,ORD_00321
LEDGER_00322,49941.00,2026-01-15,ORD_00322
LEDGER_00323,25227.00,2026-01-23,ORD_00323
LEDGER_00324,75446.00,2026-01-13,ORD_00324
LEDGER_00325,54341.00,2026-01-02,ORD_00325
LEDGER_00326,98109.00,2026-01-16,ORD_00326
LEDGER_00327,51104.00,2026-01-22,ORD_00327
LEDGER_00328,65423.00,2026-01-02,ORD_00328
LEDGER_00329,66336.00,2026-01-19,ORD_00329
LEDGER_00330,13654.00,2026-01-28,ORD_00330
LEDGER_00331,13569.00,2026-01-17,ORD_00331
LEDGER_00332,2511.00,2026-01-24,ORD_00332
LEDGER_00333,54236.00,2026-01-28,ORD_00333
LEDGER_00334,10307.00,2026-01-16,ORD_00334
LEDGER_00335,44875.00,2026-01-20,ORD_00335
LEDGER_00336,85675.00,2026-01-03,ORD_00336
LEDGER_00337,88889.00,2026-01-28,ORD_00337
LEDGER_00338,50308.00,2026-01-11,ORD_00338
LEDGER_00339,71412.00,2026-01-02,ORD_00339
LEDGER_00340,9468.00,2026-01-08,ORD_00340
LEDGER_00341,30317.00,2026-01-24,ORD_00341
LEDGER_00342,13403.00,2026-01-25,ORD_00342
LEDGER_00343,22305.00,2026-01-23,ORD_00343
LEDGER_00344,6528.00,2026-01-11,ORD_00344
LEDGER_00345,47484.00,2026-01-12,ORD_00345
LEDGER_00346,32507.00,2026-01-17,ORD_00346
LEDGER_00347,89864.00,2026-01-26,ORD_00347
LEDGER_00348,23446.00,2026-01-03,ORD_00348
LEDGER_00349,81726.00,2026-01-22,ORD_00349
LEDGER_00350,76935.00,2026-01-05,ORD_00350
LEDGER_00351,84111.00,2026-01-09,ORD_00351
LEDGER_00352,87904.00,2026-01-01,ORD_00352
LEDGER_00353,89315.00,2026-01-18,ORD_00353
LEDGER_00354,58398.00,2026-01-12,ORD_00354
LEDGER_00355,84246.00,2026-01-14,ORD_00355
LEDGER_00356,40099.00,2026-01-07,ORD_00356
LEDGER_00357,14479.00,2026-01-08,ORD_00357
LEDGER_00358,47549.00,2026-01-19,ORD_00358
LEDGER_00359,39196.00,2026-01-01,ORD_00359
LEDGER_00360,1561.00,2026-01-19,ORD_00360
LEDGER_00361,98171.00,2026-01-16,ORD_00361
LEDGER_00362,80069.00,2026-01-26,ORD_00362
LEDGER_00363,83942.00,2026-01-07,ORD_00363
LEDGER_00364,89335.00,2026-01-25,ORD_00364
LEDGER_00365,13235.00,2026-01-29,ORD_00365
LEDGER_00366,58279.00,2026-01-02,ORD_00366
LEDGER_00367,96491.00,2026-01-05,ORD_00367
LEDGER_00368,43323.00,2026-01-24,ORD_00368
LEDGER_00369,26818.00,2026-01-05,ORD_00369
LEDGER_00370,70079.00,2026-01-17,ORD_00370
LEDGER_00371,34181.00,2026-01-30,ORD_00371
LEDGER_00372,98353.00,2026-01-28,ORD_00372
LEDGER_00373,61885.00,2026-01-03,ORD_00373
LEDGER_00374,89147.00,2026-01-24,ORD_00374
LEDGER_00375,48442.00,2026-01-03,ORD_00375
LEDGER_00376,35163.00,2026-01-18,ORD_00376
LEDGER_00377,48811.00,2026-01-22,ORD_00377
LEDGER_00378,50441.00,2026-01-27,ORD_00378
LEDGER_00379,88952.00,2026-01-08,ORD_00379
LEDGER_00380,81705.00,2026-01-29,ORD_00380
LEDGER_00381,80464.00,2026-01-08,ORD_00381
LEDGER_00382,83783.00,2026-01-27,ORD_00382
LEDGER_00383,92391.00,2026-01-10,ORD_00383
LEDGER_00384,15792.00,2026-01-05,ORD_00384
LEDGER_00385,5377.00,2026-01-10,ORD_00385
LEDGER_00386,15720.00,2026-01-04,ORD_00386
LEDGER_00387,70957.00,2026-01-05,ORD_00387
LEDGER_00388,59959.00,2026-01-12,ORD_00388
LEDGER_00389,55435.00,2026-01-19,ORD_00389
LEDGER_00390,54879.00,2026-01-21,ORD_00390
LEDGER_00391,64639.00,2026-01-20,ORD_00391
LEDGER_00392,37166.00,2026-01-02,ORD_00392
LEDGER_00393,28977.00,2026-01-15,ORD_00393
LEDGER_00394,31447.00,2026-01-28,ORD_00394
LEDGER_00395,13522.00,2026-01-22,ORD_00395
LEDGER_00396,71864.00,2026-01-29,ORD_00396
LEDGER_00397,8436.00,2026-01-13,ORD_00397
LEDGER_00398,25378.00,2026-01-04,ORD_00398
LEDGER_00399,12515.00,2026-01-22,ORD_00399
LEDGER_00400,84609.00,2026-01-21,ORD_00400
