utr,settled_amount,settlement_date,batch_reference
UTR_000129,40501.00,2026-01-27,ORD_00129
UTR_000130,3601.00,2026-01-23,ORD_00130
UTR_000131,43525.00,2026-01-10,ORD_00131
UTR_000132,46525.00,2026-01-22,ORD_00132
UTR_000133,89565.00,2026-01-28,ORD_00133
UTR_000134,4117.00,2026-01-04,ORD_00134
UTR_000135,76599.00,2026-01-09,ORD_00135
UTR_000136,78693.00,2026-01-16,ORD_00136
UTR_000137,41614.00,2026-01-16,ORD_00137
UTR_000138,15657.00,2026-01-13,ORD_00138
UTR_000139,33886.00,2026-01-02,ORD_00139
UTR_000140,68646.00,2026-02-01,ORD_00140
UTR_000141,94797.00,2026-01-25,ORD_00141
UTR_000142,57031.00,2026-01-05,ORD_00142
UTR_000143,41645.00,2026-01-24,ORD_00143
UTR_000144,39863.00,2026-01-19,ORD_00144
UTR_000145,54028.00,2026-01-13,ORD_00145
UTR_000146,39252.00,2026-01-18,ORD_00146
UTR_000147,55608.00,2026-01-24,ORD_00147
UTR_000148,98559.00,2026-01-31,ORD_00148
UTR_000149,75093.00,2026-01-12,ORD_00149
UTR_000150,553.00,2026-01-10,ORD_00150
UTR_000151,56846.00,2026-01-28,ORD_00151
UTR_000152,86313.00,2026-01-12,ORD_00152
UTR_000153,58454.00,2026-01-24,ORD_00153
UTR_000154,62521.00,2026-01-28,ORD_00154
UTR_000155,11614.00,2026-01-12,ORD_00155
UTR_000156,83460.00,2026-01-20,ORD_00156
UTR_000157,98953.00,2026-01-08,ORD_00157
UTR_000158,26600.00,2026-01-05,ORD_00158
UTR_000159,32592.00,2026-01-16,ORD_00159
UTR_000160,60192.00,2026-01-14,ORD_00160
UTR_000161,94655.00,2026-01-24,ORD_00161
UTR_000162,52883.00,2026-01-10,ORD_00162
UTR_000163,90628.00,2026-01-02,ORD_00163
UTR_000164,29183.00,2026-01-07,ORD_00164
UTR_000165,7082.00,2026-01-18,ORD_00165
UTR_000166,60329.00,2026-01-07,ORD_00166
UTR_000167,70116.00,2026-01-19,ORD_00167
UTR_000168,99492.00,2026-01-31,ORD_00168
UTR_000169,94776.00,2026-01-30,ORD_00169
UTR_000170,72310.00,2026-01-17,ORD_00170
UTR_000171,62716.00,2026-01-15,ORD_00171
UTR_000172,84079.00,2026-01-10,ORD_00172
UTR_000173,82649.00,2026-01-09,ORD_00173
UTR_000174,10655.00,2026-01-23,ORD_00174
UTR_000175,36114.00,2026-01-13,ORD_00175
UTR_000176,11061.00,2026-01-05,ORD_00176
UTR_000177,50705.00,2026-01-25,ORD_00177
UTR_000178,28543.00,2026-01-04,ORD_00178
UTR_000179,43869.00,2026-01-19,ORD_00179
UTR_000180,8661.00,2026-01-08,ORD_00180
UTR_000181,77056.00,2026-01-25,ORD_00181
UTR_000182,50357.00,2026-01-17,ORD_00182
UTR_000183,39639.00,2026-01-26,ORD_00183
UTR_000184,71045.00,2026-01-26,ORD_00184
UTR_000185,29406.00,2026-01-17,ORD_00185
UTR_000186,57625.00,2026-01-17,ORD_00186
UTR_000187,44557.00,2026-01-24,ORD_00187
UTR_000188,22132.00,2026-01-27,ORD_00188
UTR_000189,82060.00,2026-01-19,ORD_00189
UTR_000190,78080.00,2026-01-19,ORD_00190
UTR_000191,84746.00,2026-01-15,ORD_00191
UTR_000192,24319.00,2026-01-03,ORD_00192
UTR_000193,43406.00,2026-01-08,ORD_00193
UTR_000194,44736.00,2026-01-26,ORD_00194
UTR_000195,99067.00,2026-01-28,ORD_00195
UTR_000196,11235.00,2026-01-18,ORD_00196
UTR_000197,69777.96,2026-01-02,ORD_00197
UTR_000198,84000.70,2026-01-03,ORD_00198
UTR_000199,32252.78,2026-01-09,ORD_00199
UTR_000200,20063.54,2026-01-09,ORD_00200
UTR_000201,86482.06,2026-01-04,ORD_00201
UTR_000202,60222.96,2026-01-24,ORD_00202
UTR_000203,22042.16,2026-01-22,ORD_00203
UTR_000204,92762.88,2026-01-05,ORD_00204
UTR_000205,14374.64,2026-01-20,ORD_00205
UTR_000206,74450.60,2026-01-23,ORD_00206
UTR_000207,92333.64,2026-01-09,ORD_00207
UTR_000208,89199.60,2026-01-27,ORD_00208
UTR_000209,90044.36,2026-01-27,ORD_00209
UTR_000210,77613.06,2026-01-28,ORD_00210
UTR_000211,5765.34,2026-01-13,ORD_00211
UTR_000212,85461.88,2026-01-14,ORD_00212
UTR_000213,83666.52,2026-01-12,ORD_00213
UTR_000214,63455.98,2026-01-05,ORD_00214
UTR_000215,82130.86,2026-01-31,ORD_00215
UTR_000216,20140.96,2026-01-16,ORD_00216
UTR_000217,67508.28,2026-01-23,ORD_00217
UTR_000218,69618.22,2026-01-26,ORD_00218
UTR_000219,56439.18,2026-01-28,ORD_00219
UTR_000220,41890.10,2026-01-28,ORD_00220
UTR_000221,36317.82,2026-01-29,ORD_00221
UTR_000222,96888.68,2026-01-17,ORD_00222
UTR_000223,86318.40,2026-01-13,ORD_00223
UTR_000224,63983.22,2026-01-28,ORD_00224
UTR_000225,63115.92,2026-01-08,ORD_00225
UTR_000226,44205.84,2026-01-11,ORD_00226
UTR_000227,35976.78,2026-01-20,ORD_00227
UTR_000228,25031.16,2026-01-05,ORD_00228
UTR_000229,52695.58,2026-01-16,ORD_00229
UTR_000230,89198.62,2026-01-17,ORD_00230
UTR_000231,2704.80,2026-01-03,ORD_00231
UTR_000232,52434.90,2026-01-24,ORD_00232
UTR_000233,85775.48,2026-01-20,ORD_00233
UTR_000234,71583.12,2026-01-18,ORD_00234
UTR_000235,96305.58,2026-01-19,ORD_00235
UTR_000236,90771.52,2026-01-16,ORD_00236
UTR_000237,32781.98,2026-01-10,ORD_00237
UTR_000238,25227.16,2026-01-13,ORD_00238
UTR_000239,69321.28,2026-01-25,ORD_00239
UTR_000240,28283.78,2026-01-25,ORD_00240
UTR_000241,93562.56,2026-01-21,ORD_00241
UTR_000242,36841.14,2026-01-05,ORD_00242
UTR_000243,29709.68,2026-01-13,ORD_00243
UTR_000244,2306.92,2026-01-23,ORD_00244
UTR_000245,35724.92,2026-01-04,ORD_00245
UTR_000246,38014.20,2026-01-25,ORD_00246
UTR_000247,97185.62,2026-01-16,ORD_00247
UTR_000248,74228.14,2026-01-11,ORD_00248
UTR_000249,57068.34,2026-01-11,ORD_00249
UTR_000250,32920.16,2026-01-28,ORD_00250
UTR_000251,8882.72,2026-01-13,ORD_00251
UTR_000252,74608.38,2026-01-21,ORD_00252
UTR_000253,19653.90,2026-01-27,ORD_00253
UTR_000254,11430.72,2026-01-10,ORD_00254
UTR_000255,53947.04,2026-01-22,ORD_00255
UTR_000256,29479.38,2026-01-26,ORD_00256
UTR_000257,58358.02,2026-01-31,ORD_00257
UTR_000258,76086.22,2026-01-16,ORD_00258
UTR_000259,80261.02,2026-01-04,ORD_00259
UTR_000260,13235.88,2026-01-27,ORD_00260
UTR_000261,27595.82,2026-01-09,ORD_00261
UTR_000262,31300.22,2026-01-06,ORD_00262
UTR_000263,20596.66,2026-01-02,ORD_00263
UTR_000264,89039.86,2026-01-21,ORD_00264
UTR_000265,4682.44,2026-01-10,ORD_00265
UTR_000266,36804.88,2026-01-23,ORD_00266
UTR_000267,88784.08,2026-01-10,ORD_00267
UTR_000268,76247.92,2026-01-23,ORD_00268
UTR_000269,15232.14,2026-01-20,ORD_00269
UTR_000270,19627.44,2026-01-30,ORD_00270
UTR_000271,9661.82,2026-01-03,ORD_00271
UTR_000272,76923.14,2026-01-25,ORD_00272
UTR_000273,56898.80,2026-01-06,ORD_00273
UTR_000274,39549.86,2026-01-24,ORD_00274
UTR_000275,64775.06,2026-01-19,ORD_00275
UTR_000276,10822.14,2026-01-21,ORD_00276
UTR_000277,94840.48,2026-01-12,ORD_00277
UTR_000278,3812.20,2026-01-05,ORD_00278
UTR_000279,74374.16,2026-01-21,ORD_00279
UTR_000280,35108.50,2026-01-19,ORD_00280
UTR_BATCH_001,218776.18,2026-01-22,BATCH_001
UTR_BATCH_002,249884.32,2026-01-23,BATCH_002
UTR_BATCH_003,277985.82,2026-01-29,BATCH_003
UTR_BATCH_004,262010.84,2026-01-31,BATCH_004
UTR_BATCH_005,188498.10,2026-01-28,BATCH_005
UTR_BATCH_006,305128.88,2026-01-31,BATCH_006
UTR_BATCH_007,215650.96,2026-01-31,BATCH_007
UTR_BATCH_008,229790.40,2026-01-28,BATCH_008
UTR_BATCH_009,272239.10,2026-01-26,BATCH_009
UTR_BATCH_010,288733.48,2026-01-29,BATCH_010
UTR_BATCH_011,122988.04,2026-01-29,BATCH_011
UTR_BATCH_012,299636.96,2026-01-29,BATCH_012
UTR_EDGE_001,30317.00,2026-01-25,ORD_00341
UTR_EDGE_002,13403.00,2026-01-26,ORD_00342
UTR_EDGE_003,22305.00,2026-01-23,ORD_00343
UTR_EDGE_004,6528.00,2026-01-12,ORD_00344
UTR_EDGE_005,47484.00,2026-01-12,ORD_00345
UTR_EDGE_006,32507.00,2026-01-19,ORD_00346
UTR_EDGE_007,89864.00,2026-01-26,ORD_00347
UTR_EDGE_008,23446.00,2026-01-04,ORD_00348
UTR_EDGE_009,81726.00,2026-01-23,ORD_00349
UTR_EDGE_010,76935.00,2026-01-06,ORD_00350
UTR_EDGE_011,84111.00,2026-01-10,ORD_00351
UTR_EDGE_012,87904.00,2026-01-02,ORD_00352
UTR_EDGE_013,89315.00,2026-01-18,ORD_00353
UTR_EDGE_014,58398.00,2026-01-13,ORD_00354
UTR_EDGE_015,84246.00,2026-01-15,ORD_00355
UTR_EDGE_016,40099.00,2026-01-08,ORD_00356
UTR_EDGE_017,14479.00,2026-01-10,ORD_00357
UTR_EDGE_018,47549.00,2026-01-21,ORD_00358
UTR_EDGE_019,39196.00,2026-01-02,ORD_00359
UTR_EDGE_020,1561.00,2026-01-21,ORD_00360
UTR_EDGE_021,95716.73,2026-01-16,ORD_00361
UTR_EDGE_022,78067.27,2026-01-26,ORD_00362
UTR_EDGE_023,81843.45,2026-01-08,ORD_00363
UTR_EDGE_024,87101.62,2026-01-27,ORD_00364
UTR_EDGE_025,12904.12,2026-01-30,ORD_00365
UTR_EDGE_026,56822.03,2026-01-03,ORD_00366
UTR_EDGE_027,94078.73,2026-01-06,ORD_00367
UTR_EDGE_028,42239.93,2026-01-24,ORD_00368
UTR_EDGE_029,26147.55,2026-01-06,ORD_00369
UTR_EDGE_030,68327.02,2026-01-17,ORD_00370
UTR_EDGE_031,33326.47,2026-01-31,ORD_00371
UTR_EDGE_032,95894.18,2026-01-28,ORD_00372
UTR_EDGE_033,60337.88,2026-01-03,ORD_00373
UTR_EDGE_034,86918.32,2026-01-26,ORD_00374
UTR_EDGE_035,47230.95,2026-01-03,ORD_00375
UTR_EDGE_036,34283.93,2026-01-19,ORD_00376
UTR_EDGE_037,47590.72,2026-01-24,ORD_00377
UTR_EDGE_038,49179.97,2026-01-27,ORD_00378
UTR_EDGE_039,86728.20,2026-01-08,ORD_00379
UTR_EDGE_040,79662.38,2026-01-30,ORD_00380
UTR_DUP_009_1,54326.30,2026-01-20,ORD_00389
UTR_DUP_009_2,54326.30,2026-01-20,ORD_00389
UTR_DUP_010_1,53781.42,2026-01-22,ORD_00390
UTR_DUP_010_2,53781.42,2026-01-22,ORD_00390
UTR_DUP_011_1,63346.22,2026-01-21,ORD_00391
UTR_DUP_011_2,63346.22,2026-01-21,ORD_00391
UTR_DUP_012_1,36422.68,2026-01-03,ORD_00392
UTR_DUP_012_2,36422.68,2026-01-03,ORD_00392
UTR_REFUND_013,28397.46,2026-01-16,ORD_00393
UTR_REFUND_014,30818.06,2026-01-29,ORD_00394
UTR_REFUND_015,13251.56,2026-01-23,ORD_00395
UTR_REFUND_016,70426.72,2026-01-30,ORD_00396
UTR_CURRENCY_017,8267.28,2026-01-14,ORD_00397
UTR_CURRENCY_018,24870.44,2026-01-05,ORD_00398
UTR_CURRENCY_019,12264.70,2026-01-23,ORD_00399
UTR_CURRENCY_020,82916.82,2026-01-22,ORD_00400
